[2026-03-11 02:01:31] ========== TRAINING START ==========
[2026-03-11 02:01:31] Duration: 10h 0m 0s
[2026-03-11 02:01:31] Dataset: climbmix
[2026-03-11 02:01:31] Shards: 10
[2026-03-11 02:01:31] Workers: 39
[2026-03-11 02:01:31] ====================================
[2026-03-11 02:01:36] Using 'uv' runner to start training (TIME_BUDGET=36000s)

🔍 Verifying required packages...
📦 [Fallback] Installing missing dependency: psutil...
✅ Successfully installed psutil
Vocab size: 8,192
🔨 Building model: depth=8, batch_size=96
Pre-build | VRAM - Allocated: 0.0GB | Reserved: 0.0GB | Available: 70.7GB | Total: 79.2GB
✅ Model built successfully with 8 layers
Post-build | VRAM - Allocated: 0.5GB | Reserved: 0.6GB | Available: 70.1GB | Total: 79.2GB
Parameter counts:
  wte                     : 8,388,608
  value_embeds            : 33,554,432
  lm_head                 : 8,388,608
  transformer_matrices    : 100,664,320
  scalars                 : 16
  total                   : 150,995,984
Estimated FLOPs per token: 7.801467e+08
Gradient accumulation steps: 5 (adjusted batch: 983,040 tokens)
Scaling AdamW LRs by 1/sqrt(1024/768) = 0.866025

🚀 Starting training with CURRENT_BATCH_SIZE=96, CURRENT_DEPTH=8
Time budget: 36000s
Gradient accumulation steps: 5

step 00000 (0.0%) | loss: 9.011393 | lrm: 1.00 | dt: 21953ms | tok/sec: 44,779 | mfu: 0.7% | epoch: 1 | remaining: 36000s    [2026-03-11 02:02:05] ✓ Training initialization complete, timer started

step 00001 (0.0%) | loss: 8.755714 | lrm: 1.00 | dt: 9960ms | tok/sec: 98,702 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00002 (0.0%) | loss: 8.226683 | lrm: 1.00 | dt: 10145ms | tok/sec: 96,896 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00003 (0.0%) | loss: 7.714963 | lrm: 1.00 | dt: 10243ms | tok/sec: 95,973 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00004 (0.0%) | loss: 7.295918 | lrm: 1.00 | dt: 10139ms | tok/sec: 96,960 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00005 (0.0%) | loss: 6.995204 | lrm: 1.00 | dt: 10230ms | tok/sec: 96,097 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00006 (0.0%) | loss: 6.758277 | lrm: 1.00 | dt: 10191ms | tok/sec: 96,465 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00007 (0.0%) | loss: 6.557023 | lrm: 1.00 | dt: 11789ms | tok/sec: 83,387 | mfu: 1.3% | epoch: 1 | remaining: 36000s    
step 00008 (0.0%) | loss: 6.396197 | lrm: 1.00 | dt: 11390ms | tok/sec: 86,305 | mfu: 1.4% | epoch: 1 | remaining: 36000s    
step 00009 (0.0%) | loss: 6.259630 | lrm: 1.00 | dt: 10697ms | tok/sec: 91,902 | mfu: 1.4% | epoch: 1 | remaining: 36000s    
step 00010 (0.0%) | loss: 6.143961 | lrm: 1.00 | dt: 10657ms | tok/sec: 92,246 | mfu: 1.4% | epoch: 1 | remaining: 36000s    
step 00011 (0.0%) | loss: 6.047817 | lrm: 1.00 | dt: 10457ms | tok/sec: 94,004 | mfu: 1.5% | epoch: 1 | remaining: 35990s    
step 00012 (0.0%) | loss: 5.961896 | lrm: 1.00 | dt: 10219ms | tok/sec: 96,199 | mfu: 1.5% | epoch: 1 | remaining: 35979s    
step 00013 (0.1%) | loss: 5.886978 | lrm: 1.00 | dt: 10233ms | tok/sec: 96,063 | mfu: 1.5% | epoch: 1 | remaining: 35969s    
step 00014 (0.1%) | loss: 5.821791 | lrm: 1.00 | dt: 10303ms | tok/sec: 95,412 | mfu: 1.5% | epoch: 1 | remaining: 35959s    
step 00015 (0.1%) | loss: 5.767121 | lrm: 1.00 | dt: 10897ms | tok/sec: 90,210 | mfu: 1.4% | epoch: 1 | remaining: 35948s    
step 00016 (0.1%) | loss: 5.713743 | lrm: 1.00 | dt: 10854ms | tok/sec: 90,572 | mfu: 1.4% | epoch: 1 | remaining: 35937s    
step 00017 (0.2%) | loss: 5.670591 | lrm: 1.00 | dt: 10839ms | tok/sec: 90,696 | mfu: 1.4% | epoch: 1 | remaining: 35926s    
step 00018 (0.2%) | loss: 5.625785 | lrm: 1.00 | dt: 10921ms | tok/sec: 90,015 | mfu: 1.4% | epoch: 1 | remaining: 35915s    
step 00019 (0.2%) | loss: 5.584209 | lrm: 1.00 | dt: 10799ms | tok/sec: 91,031 | mfu: 1.4% | epoch: 1 | remaining: 35904s    
step 00020 (0.3%) | loss: 5.546546 | lrm: 1.00 | dt: 10924ms | tok/sec: 89,990 | mfu: 1.4% | epoch: 1 | remaining: 35894s    
step 00021 (0.3%) | loss: 5.510128 | lrm: 1.00 | dt: 10944ms | tok/sec: 89,827 | mfu: 1.4% | epoch: 1 | remaining: 35883s    
step 00022 (0.3%) | loss: 5.474423 | lrm: 1.00 | dt: 10927ms | tok/sec: 89,960 | mfu: 1.4% | epoch: 1 | remaining: 35872s    
step 00023 (0.4%) | loss: 5.438853 | lrm: 1.00 | dt: 10855ms | tok/sec: 90,564 | mfu: 1.4% | epoch: 1 | remaining: 35861s    
step 00024 (0.4%) | loss: 5.404369 | lrm: 1.00 | dt: 10742ms | tok/sec: 91,512 | mfu: 1.4% | epoch: 1 | remaining: 35850s    
step 00025 (0.4%) | loss: 5.373052 | lrm: 1.00 | dt: 10816ms | tok/sec: 90,887 | mfu: 1.4% | epoch: 1 | remaining: 35839s    
step 00026 (0.4%) | loss: 5.341035 | lrm: 1.00 | dt: 10848ms | tok/sec: 90,621 | mfu: 1.4% | epoch: 1 | remaining: 35828s    
step 00027 (0.5%) | loss: 5.310457 | lrm: 1.00 | dt: 10350ms | tok/sec: 94,975 | mfu: 1.5% | epoch: 1 | remaining: 35818s    
step 00028 (0.5%) | loss: 5.277594 | lrm: 1.00 | dt: 10321ms | tok/sec: 95,246 | mfu: 1.5% | epoch: 1 | remaining: 35808s    
step 00029 (0.5%) | loss: 5.246420 | lrm: 1.00 | dt: 10342ms | tok/sec: 95,053 | mfu: 1.5% | epoch: 1 | remaining: 35797s    
step 00030 (0.6%) | loss: 5.217341 | lrm: 1.00 | dt: 11086ms | tok/sec: 88,674 | mfu: 1.4% | epoch: 1 | remaining: 35786s    
step 00031 (0.6%) | loss: 5.186015 | lrm: 1.00 | dt: 11998ms | tok/sec: 81,931 | mfu: 1.3% | epoch: 1 | remaining: 35774s    
step 00032 (0.6%) | loss: 5.158704 | lrm: 1.00 | dt: 11038ms | tok/sec: 89,057 | mfu: 1.4% | epoch: 1 | remaining: 35763s    
step 00033 (0.7%) | loss: 5.126501 | lrm: 1.00 | dt: 10395ms | tok/sec: 94,569 | mfu: 1.5% | epoch: 1 | remaining: 35753s    
step 00034 (0.7%) | loss: 5.097426 | lrm: 1.00 | dt: 10355ms | tok/sec: 94,936 | mfu: 1.5% | epoch: 1 | remaining: 35743s    
step 00035 (0.7%) | loss: 5.072781 | lrm: 1.00 | dt: 10210ms | tok/sec: 96,279 | mfu: 1.5% | epoch: 1 | remaining: 35732s    
step 00036 (0.7%) | loss: 5.045244 | lrm: 1.00 | dt: 10250ms | tok/sec: 95,902 | mfu: 1.5% | epoch: 1 | remaining: 35722s    
step 00037 (0.8%) | loss: 5.012286 | lrm: 1.00 | dt: 10462ms | tok/sec: 93,965 | mfu: 1.5% | epoch: 1 | remaining: 35712s    
step 00038 (0.8%) | loss: 4.978089 | lrm: 1.00 | dt: 10853ms | tok/sec: 90,577 | mfu: 1.4% | epoch: 1 | remaining: 35701s    
step 00039 (0.8%) | loss: 4.944452 | lrm: 1.00 | dt: 10729ms | tok/sec: 91,622 | mfu: 1.4% | epoch: 1 | remaining: 35690s    
step 00040 (0.9%) | loss: 4.912476 | lrm: 1.00 | dt: 10681ms | tok/sec: 92,039 | mfu: 1.4% | epoch: 1 | remaining: 35679s    
step 00041 (0.9%) | loss: 4.885231 | lrm: 1.00 | dt: 10690ms | tok/sec: 91,956 | mfu: 1.4% | epoch: 1 | remaining: 35669s    
step 00042 (0.9%) | loss: 4.853004 | lrm: 1.00 | dt: 10758ms | tok/sec: 91,376 | mfu: 1.4% | epoch: 1 | remaining: 35658s    
step 00043 (1.0%) | loss: 4.817046 | lrm: 1.00 | dt: 10793ms | tok/sec: 91,081 | mfu: 1.4% | epoch: 1 | remaining: 35647s    
step 00044 (1.0%) | loss: 4.784408 | lrm: 1.00 | dt: 10659ms | tok/sec: 92,227 | mfu: 1.4% | epoch: 1 | remaining: 35636s    
step 00045 (1.0%) | loss: 4.755009 | lrm: 1.00 | dt: 10783ms | tok/sec: 91,168 | mfu: 1.4% | epoch: 1 | remaining: 35626s    
step 00046 (1.0%) | loss: 4.721279 | lrm: 1.00 | dt: 10707ms | tok/sec: 91,808 | mfu: 1.4% | epoch: 1 | remaining: 35615s    
step 00047 (1.1%) | loss: 4.693136 | lrm: 1.00 | dt: 10655ms | tok/sec: 92,259 | mfu: 1.4% | epoch: 1 | remaining: 35604s    
step 00048 (1.1%) | loss: 4.666232 | lrm: 1.00 | dt: 10769ms | tok/sec: 91,282 | mfu: 1.4% | epoch: 1 | remaining: 35594s    
step 00049 (1.1%) | loss: 4.636369 | lrm: 1.00 | dt: 10782ms | tok/sec: 91,174 | mfu: 1.4% | epoch: 1 | remaining: 35583s    
step 00050 (1.2%) | loss: 4.608020 | lrm: 1.00 | dt: 10758ms | tok/sec: 91,379 | mfu: 1.4% | epoch: 1 | remaining: 35572s    
step 00051 (1.2%) | loss: 4.579277 | lrm: 1.00 | dt: 10657ms | tok/sec: 92,247 | mfu: 1.4% | epoch: 1 | remaining: 35561s    
step 00052 (1.2%) | loss: 4.548053 | lrm: 1.00 | dt: 10681ms | tok/sec: 92,033 | mfu: 1.4% | epoch: 1 | remaining: 35551s    
step 00053 (1.2%) | loss: 4.513387 | lrm: 1.00 | dt: 10701ms | tok/sec: 91,866 | mfu: 1.4% | epoch: 1 | remaining: 35540s    
step 00054 (1.3%) | loss: 4.482403 | lrm: 1.00 | dt: 10778ms | tok/sec: 91,210 | mfu: 1.4% | epoch: 1 | remaining: 35529s    
step 00055 (1.3%) | loss: 4.450197 | lrm: 1.00 | dt: 10705ms | tok/sec: 91,833 | mfu: 1.4% | epoch: 1 | remaining: 35518s    
step 00056 (1.3%) | loss: 4.426264 | lrm: 1.00 | dt: 10649ms | tok/sec: 92,310 | mfu: 1.4% | epoch: 1 | remaining: 35508s    
step 00057 (1.4%) | loss: 4.396425 | lrm: 1.00 | dt: 10729ms | tok/sec: 91,628 | mfu: 1.4% | epoch: 1 | remaining: 35497s    
step 00058 (1.4%) | loss: 4.361196 | lrm: 1.00 | dt: 10727ms | tok/sec: 91,644 | mfu: 1.4% | epoch: 1 | remaining: 35486s    
step 00059 (1.4%) | loss: 4.330488 | lrm: 1.00 | dt: 10767ms | tok/sec: 91,300 | mfu: 1.4% | epoch: 1 | remaining: 35476s    
step 00060 (1.5%) | loss: 4.306144 | lrm: 1.00 | dt: 10792ms | tok/sec: 91,092 | mfu: 1.4% | epoch: 1 | remaining: 35465s    
step 00061 (1.5%) | loss: 4.282016 | lrm: 1.00 | dt: 10661ms | tok/sec: 92,211 | mfu: 1.4% | epoch: 1 | remaining: 35454s    
step 00062 (1.5%) | loss: 4.247648 | lrm: 1.00 | dt: 10711ms | tok/sec: 91,779 | mfu: 1.4% | epoch: 1 | remaining: 35443s    
step 00063 (1.5%) | loss: 4.220166 | lrm: 1.00 | dt: 10677ms | tok/sec: 92,068 | mfu: 1.4% | epoch: 1 | remaining: 35433s    
step 00064 (1.6%) | loss: 4.194319 | lrm: 1.00 | dt: 10714ms | tok/sec: 91,751 | mfu: 1.4% | epoch: 1 | remaining: 35422s    
step 00065 (1.6%) | loss: 4.160835 | lrm: 1.00 | dt: 10705ms | tok/sec: 91,830 | mfu: 1.4% | epoch: 1 | remaining: 35411s    
step 00066 (1.6%) | loss: 4.137994 | lrm: 1.00 | dt: 10711ms | tok/sec: 91,779 | mfu: 1.4% | epoch: 1 | remaining: 35401s    
step 00067 (1.7%) | loss: 4.111085 | lrm: 1.00 | dt: 10685ms | tok/sec: 91,998 | mfu: 1.4% | epoch: 1 | remaining: 35390s    
step 00068 (1.7%) | loss: 4.080980 | lrm: 1.00 | dt: 10683ms | tok/sec: 92,021 | mfu: 1.4% | epoch: 1 | remaining: 35379s    
step 00069 (1.7%) | loss: 4.056878 | lrm: 1.00 | dt: 10684ms | tok/sec: 92,013 | mfu: 1.4% | epoch: 1 | remaining: 35369s    
